,title,location,environment,division,link,Similarity
position49,Information Security Officer,"Vilnius, Lithuania ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1694968-information-security-officer,0.36363636363636365
position50,Domain Architect,"Vilnius, Lithuania ",On-site,Technology,https://luminorbank.teamtailor.com/jobs/1694178-domain-architect,0.36363636363636365
position51,Solution Architect,"Tallinn, Estonia ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1554178-solution-architect,0.36363636363636365
position52,Solution Architect,"Vilnius, Lithuania ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1554122-solution-architect,0.36363636363636365
position53,Solution Architect,"Riga, Latvia ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1536629-solution-architect,0.36363636363636365
position54,Legal Counsel,"Tallinn, Estonia ",Hybrid Remote,Legal,https://luminorbank.teamtailor.com/jobs/1795361-legal-counsel,0.2727272727272727
position55,Legal Counsel,"Vilnius, Lithuania ",Hybrid Remote,Legal,https://luminorbank.teamtailor.com/jobs/1795060-legal-counsel,0.2727272727272727
position56,IT Performance Analyst,"Riga, Latvia ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1707829-it-performance-analyst,0.36363636363636365
position57,IT Performance Analyst,"Vilnius, Lithuania ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1707814-it-performance-analyst,0.36363636363636365
position58,IT Performance Analyst,"Tallinn, Estonia ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1707641-it-performance-analyst,0.36363636363636365
position59,Business Analyst for Online & Mobile Bank,"Vilnius, Lithuania ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1467396-business-analyst-for-online-mobile-bank,0.36363636363636365
position60,Talent Acquisition Partner,Multiple locations,Hybrid Remote,People & Culture,https://luminorbank.teamtailor.com/jobs/1461551-talent-acquisition-partner,0.36363636363636365
position61,KYC Specialist,"Vilnius, Lithuania ",Hybrid Remote,Retail Banking,https://luminorbank.teamtailor.com/jobs/1772470-kyc-specialist,0.18181818181818182
position62,Senior Software Engineer (Java),"Tallinn, Estonia ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1543985-senior-software-engineer-java,0.18181818181818182
position63,Senior Software Engineer (Java),"Riga, Latvia ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1543974-senior-software-engineer-java,0.18181818181818182
position64,Senior Software Engineer (Java),"Vilnius, Lithuania ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1543905-senior-software-engineer-java,0.18181818181818182
position65,Talent Acquisition Partner,Multiple locations,Hybrid Remote,People & Culture,https://luminorbank.teamtailor.com/jobs/1461546-talent-acquisition-partner,0.36363636363636365
position66,Process Owner (Development Processes),"Tallinn, Estonia ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1579816-process-owner-development-processes,0.0
position67,Process Owner (Development Processes),"Vilnius, Lithuania ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1579792-process-owner-development-processes,0.0
position68,Process Owner (Development Processes),"Riga, Latvia ",Hybrid Remote,Technology,https://luminorbank.teamtailor.com/jobs/1579079-process-owner-development-processes,0.0
position69,Marketing Project Manager,"Vilnius, Lithuania ",On-site,Retail Banking,https://luminorbank.teamtailor.com/jobs/1756903-marketing-project-manager,0.36363636363636365
position70,Klientu risinājumu konsultants,"Riga, Latvia ",On-site,Retail Banking,https://luminorbank.teamtailor.com/jobs/1424009-klientu-risinajumu-konsultants,0.0
position71,AML Specialist (EDD group),"Vilnius, Lithuania , Kaunas, Lithuania",Hybrid Remote,Retail Banking,https://luminorbank.teamtailor.com/jobs/1557569-aml-specialist-edd-group,0.2727272727272727
position72,Konsultantas (-ė) Kliento aptarnavimo skyriuje Vilniuje,"Vilnius, Lithuania ",Hybrid Remote,Retail Banking,https://luminorbank.teamtailor.com/jobs/1628501-konsultantas-e-kliento-aptarnavimo-skyriuje-vilniuje,0.0
position73,Kõnekeskuse kliendinõustaja,"Tallinn, Estonia , Pärnu, Estonia",Hybrid Remote,Retail Banking,https://luminorbank.teamtailor.com/jobs/1656553-konekeskuse-kliendinoustaja,0.0
